sample.name,species,species.full,strain,sex,assnd.number,age.days,frozen.tube.number,weight.mg,mean.ls,median.ls,max.ls,h2o2.ls,pqt.ls,mz191,mz108,mz165,mz159,mz167,mz65,mz91,mz69,mz121,mz171,mz111,mz96,mz49,mz180,mz110,mz89,mz81,mz147,mz95,mz43,mz106,mz119,mz118,mz157,mz23,mz107,mz58,mz192,mz178,mz37,mz109,mz100,mz7,mz54,mz87,mz154,mz142,mz168,mz151,mz3,mz8,mz105,mz90,mz94,mz127,mz52,mz84,mz123,mz28,mz5,mz139,mz117,mz71,mz162,mz70,mz10,mz2,mz64,mz1,mz202,mz19,mz120,mz124,mz11,mz156,mz34,mz4,mz36,mz17,mz135,mz18,mz122,mz67,mz35,mz21,mz45,mz148,mz115,mz160,mz76,mz185,mz85,mz27,mz136,mz33,mz170,mz57,mz40,mz172,mz51,mz32,mz12,mz24,mz14,mz101,mz42,mz74,mz73,mz133,mz50,mz155,mz6,mz143,mz88,mz9,mz44,mz75,mz41,mz184,mz181,mz60,mz63,mz48,mz164,mz53,mz16
tube.1,ananassae,D. ananassae,ana00,F,1,5,1,1.444666667,29.0649858757062,30.5058333333333,44.50083,90.2,120.76,21016,21192,24198,28228,29660,33777,34482,34754,36856,45794,51800,59308,61884,61906,67962,90336,90545,93373,94665,94706,101103,106263,112427,114098,117825,121315,121544,121670,130302,130596,134509,144149,145734,158639,168461,176633,185206,218578,225066,227543,250036,260210,267308,267992,273813,286457,314399,350117,364054,368636,375573,384726,413980,418890,524686,556884,612768,640695,710936,766748,859770,898374,937908,978955,1063115,1092618,1154110,1256294,1272724,1322564,1343940,1368741,1421246,1493094,1519886,1743084,1951286,1980447,2136381,2262229,2622590,2656918,2908914,3138402,3150430,3588108,3746856,5096556,5458306,6435078,8455337,8837391,10136291,10217467,10236265,12155791,12207026,13795692,15047722,15429432,17810078,19291042,20696762,24057757,36605352,36620292,40086198,53932782,57858194,62683698,63723820,64167611,72347317,85580740,105821498,185779866
tube.10,melanogaster,D. melanogaster,mel14,M,58,5,10,0.519333333,50.4784543512255,49.0314178333333,83.99954,84.26,168.14,174183,18355,68919,74022,276013,785098,23152,62608,1660511,12974,48680,115674,44201,283169,77357,158531,48918,132749,67056,30246,82313,298993,133046,40527,761062,139978,131665,89260,286455,34545,77515,87211,301573,71039,47138,177098,500466,389257,740176,234734,185633,296831,186732,147936,71832,269942,179162,280644,1175863,299453,233522,281199,210576,245254,335308,276857,297096,5051126,689651,545508,805035,844693,840467,1212886,1478501,834392,2712936,1057654,1543064,225094,NA,1047100,1972462,1139583,981085,1515095,2129157,5276738,819420,4001464,733321,1945954,1806072,3548183,2337708,6403848,3584924,1180766,1707503,4666369,3856639,3917440,13181108,21428617,10413132,7676022,11654730,36166159,26005820,14423069,16715408,9695437,12506084,21645729,34219742,27488642,23624702,46721978,30681014,17221535,71522618,80134255,90895724,20958280,79814429,116038294
tube.11,melanogaster,D. melanogaster,mel56,F,65,5,11,0.660666667,73.7597442523674,76.9471932916667,93.53094,96.14,179.95,39245,33819,61897,82419,98861,6101064,53920,497376,NA,16771,82810,66570,64041,191911,78483,303771,257514,88449,63835,44872,87300,189612,362927,30510,486973,82818,269191,177547,184864,66488,45023,51593,173557,21803,62179,142113,256266,726210,268638,200966,271112,291816,324652,209718,193676,357653,211565,684571,301825,29299,222490,922082,858991,786487,1676804,664703,897857,5081015,1211068,587384,1558435,1657415,2194738,811706,6110449,927482,613790,1300369,3001305,157713,NA,1772776,2511155,4203603,2169492,2392467,1674204,5997080,1874316,9941515,1958535,1496208,7625918,9529365,8009350,3071520,9215367,2640407,868897,17846841,12987476,7564626,17538236,27415212,10943944,31650248,34056304,48217708,21777330,24032724,13916525,20252881,21432573,23761623,43534810,43551208,42507836,78824486,58971878,12925647,60418429,80425070,214001365,100257148,128012325,155136579
tube.12,melanogaster,D. melanogaster,mel56,M,72,5,12,0.454,65.117425568415,65.4793981666667,93.53094,96.14,120.76,257120,19517,59336,104637,301565,1603544,31033,136393,1348763,24130,47950,54098,59971,447077,39670,227631,62717,126493,51209,45799,50062,126347,205267,62515,156904,73375,155645,134058,352305,34557,44251,57099,679777,81334,37122,99809,639087,478717,256108,207204,221529,244253,179475,151388,93793,419510,90033,379738,1840101,213720,196158,276612,300826,265476,402842,591589,424026,4701145,938270,767474,1189813,1001481,1141018,938980,2002886,676824,2949388,2410171,2256377,321603,NA,1293648,2176831,1659380,1686692,1661830,1894514,7146222,859576,6083478,852150,1037107,2276322,4559821,4485771,4424467,4485109,2201348,3169009,7300191,6995354,5277007,15070833,27973528,11023610,10034662,14405942,52775549,29577923,18976115,11552922,9191688,12438418,24061143,32650431,36044891,25249970,63484946,34066393,29463955,67215127,76948234,137352684,28043182,91197560,118786976
tube.13,melanogaster,D. melanogaster,mel61,F,79,5,13,1.145333333,39.1444048478947,42.0014120375,62.98528,84.26,59.72,NA,13333,55792,57893,54855,3648526,49997,136777,NA,22088,44220,52783,121808,121798,93668,260910,96955,105699,48429,82561,132962,190096,254117,64062,285598,109785,151358,113007,242328,363409,48262,57603,513929,60568,60783,124064,238767,535801,432995,271077,208954,219838,291137,233022,572808,519734,91543,406480,1300977,130551,241977,318875,442523,513583,1054249,637783,621083,4580298,1193054,860559,1215106,1556985,1205385,838450,4989798,720068,1826158,2584743,2404524,305425,297730,1545295,2438209,4752702,2262123,2029575,1893102,4802884,1235747,7131890,1539640,1228121,4651228,7095280,6070707,3688655,4956997,4241466,2214871,12662876,9896879,8713417,13984087,20269548,7694125,21390049,28410824,31989244,19505195,23350761,25757697,11792353,21565813,24300372,31847107,39509627,53640464,75021189,45578138,24879467,64706045,53926544,157853730,31237539,114452574,129173215
tube.14,melanogaster,D. melanogaster,mel61,M,86,5,14,0.67,44.7512318006579,49.0314178333333,60.98933,84.26,72.5,206632,14762,59432,48147,142658,732654,15361,113197,1368950,NA,29590,39716,NA,261536,50060,109538,39622,93788,37314,20269,64125,161155,81717,89416,189287,72965,131969,71601,161658,137008,50369,64108,187162,31350,46474,67981,275040,319745,339944,163144,191724,214255,96387,88594,1120635,NA,53933,330759,799099,239721,125387,251749,134897,213038,267061,422743,304764,3441178,488907,216600,935259,573017,911340,911766,904008,503500,1265361,864401,2038367,211439,NA,499385,992756,845654,1765821,640075,2254438,3408694,506905,3573379,921149,1004064,1196201,2109819,3540858,5282353,3065860,797996,517288,3234315,4737692,2284906,10996469,15107197,6564969,5261941,7935863,21457113,18033583,9891325,11270607,4335888,6723301,22841058,30528168,17680274,15680463,34906362,19003761,10803786,76314683,70997869,57090220,11531359,50953182,57945713
tube.15,mojavensis,D. mojavensis,moj1002,F,93,5,15,1.128,59.850741056036,65.4793981666667,100.52139,242.37,265.51,23281,30976,78825,310466,149890,476270,43594,48617,NA,44812,43270,55744,147059,440334,65010,198495,99197,107369,52707,137430,64336,95182,236544,53165,259115,78075,310304,166772,177901,68634,50718,84568,413584,178984,81830,174116,221240,379356,198712,187370,189679,324449,353964,175915,293528,322101,125935,231463,996098,46786,251656,330054,186829,214454,400228,710282,703271,4781720,1503745,1660645,3209321,1452685,723504,972771,1488818,1001126,2238915,1924665,6403588,263474,287614,1393401,2193890,1135743,7355238,2504143,1739458,914093,1103135,4436733,2205779,885285,6393476,8649741,13346557,4671846,9540661,6984952,6464129,20856298,17930537,6472050,14920629,27275726,10933335,27755679,12820731,5355801,66651667,29661776,8512050,11491339,24942212,23778542,29753554,37481799,76171452,70713056,64003689,39396214,65042794,73196981,147027983,37176282,123065785,161513891
tube.16,mojavensis,D. mojavensis,moj1002,M,100,5,16,0.914666667,37.7985009352457,39.9979108791667,60.98933,168.14,179.95,128868,22086,66161,139692,279359,189151,44827,NA,NA,65477,50380,60495,331697,501296,42000,203492,79224,96558,83159,114709,45327,102538,150049,53958,90759,62390,212343,125060,139602,108179,48334,102925,1259693,165516,38811,198928,2665388,576500,209402,197077,214940,227034,399095,150417,346930,480664,118420,282096,3331460,108522,429785,299861,210262,195206,424840,810441,552163,2178083,1201093,891007,2910093,1271640,740570,718647,1680970,1332856,3054390,1939096,5910459,528213,325242,1323823,1903595,703934,1851167,1878211,1880786,1040468,1028635,6406222,1074964,1143614,3919525,18357640,11421975,7010386,6952763,5697294,6250520,6349318,14109991,4901420,11425943,27238713,12878614,16140531,9503695,6615364,80406237,24203965,6370924,8982882,28594529,22360657,34283418,38366097,36476674,61163993,58837096,63495691,68725932,61537322,99555574,37866890,97111483,153730459
tube.17,mojavensis,D. mojavensis,moj2008,F,107,5,17,1.264,46.4042477822521,49.0314178333333,86.49998,NA,NA,45759,24297,61398,266409,126720,378725,59854,76007,NA,60799,48260,49931,172566,442000,55083,302724,127077,112971,59099,44688,69119,107856,138207,32747,105864,60468,201892,108814,296616,65764,42441,97005,183490,166344,77502,118009,212156,373284,264256,144303,205405,366824,451899,154894,453257,328328,138306,408620,621643,57701,264472,338008,243194,247273,452929,1041760,583052,4128101,1461987,732984,2996684,1687891,1151593,1239330,1936968,1147255,1049720,2261665,5858470,435191,NA,1748203,1397358,841292,1284595,1477741,1817124,945260,1462002,4250975,2310768,981080,6912187,15740328,9917288,7199505,6736158,1962282,7392183,13294366,15495646,4991875,15036966,21061584,10536674,29361170,8767172,5156423,62475733,26744081,7423591,10619425,34711492,23288153,33241657,43457935,65630720,70848426,81519766,59648890,66113284,72805394,125742863,51685783,101352790,194874453
tube.18,mojavensis,D. mojavensis,moj2008,M,114,5,18,1.034,38.1197137740167,35.0132349541667,107.55962,NA,NA,156630,19536,40785,128477,238827,197596,35223,NA,NA,47769,42690,90050,131443,415918,72023,116669,81285,98487,81678,43764,129059,180834,116636,43618,151001,79015,154922,83096,123345,86487,101274,238980,1219861,214180,150362,193420,2160510,497680,270606,142139,199121,231151,388409,120723,99902,197552,109525,630963,3043017,69733,338392,573538,227362,237259,308097,558942,471062,2750223,985535,626167,1904414,1187783,1850126,1022072,911516,1022942,4840975,1471531,3841181,353299,709973,1236140,1107376,833737,1390287,1656549,2058522,1023257,711151,5677302,994638,1518010,2620535,9572011,9781225,5968321,4954877,1874120,5935961,8403304,11414968,3304284,9644983,17837275,12119443,10819496,5694800,5238628,68393910,21047213,3841655,8622773,29779729,21489418,32869624,35277044,41820228,57322697,47368392,64182504,70555561,57220668,72643473,25280832,75304722,150549859
