Genotype,Species.abbreviation,Species,Sex,Hours
ana00,ana,ananassae,female,241.65
ana00,ana,ananassae,female,241.65
ana00,ana,ananassae,female,288.04
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,395.98
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,456.06
ana00,ana,ananassae,female,503.87
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,563.74
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,624.19
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,672.2
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,732.14
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
ana00,ana,ananassae,female,792.13
