Mass,Retention Time,Frequency
266.1553,1.3455024,183
226.1932,1.4137927,183
62.9963,1.5220543,183
174.1112,6.4628673,183
242.0933,6.5558023,183
146.105,6.5596123,183
290.0046,1.3469177,182
200.1773,1.4271485,182
326.1921,1.3495245,181
251.1524,1.3739725,181
138.0308,1.6029503,181
72.0223,2.1919334,181
132.0893,6.494463,181
294.1859,1.3324723,180
312.1757,1.3531997,180
234.1614,1.4010496,179
108.0434,2.197861,179
146.0689,4.806771,179
144.9986,1.1685506,178
242.2232,1.3991809,177
400.2256,1.4014866,177
306.1861,1.3215457,176
255.9745,3.9673693,176
228.0717,4.8503737,176
204.0345,1.1809088,175
300.013,1.2138972,175
337.9775,3.8712175,175
223.1416,4.7717156,175
115.0629,4.2126746,175
418.0296,1.3205348,174
354.0167,1.3303328,174
368.2708,1.3407996,174
382.016,1.2293586,173
90.0325,2.2106934,173
213.0395,4.0777855,173
157.9974,3.964282,173
278.2247,1.3872793,172
194.0937,1.4752151,172
195.0886,1.5862728,172
185.9924,1.6223305,172
100.0152,1.6707679,172
89.0475,4.2131343,172
225.9926,1.3687308,171
113.9929,1.4715203,171
136.0518,1.5604737,171
131.0582,5.629667,171
226.0926,4.1916184,171
171.0498,4.174837,171
298.1603,1.3596001,170
357.2875,1.4264172,170
70.0036,1.4685413,170
128.0582,4.81087,170
322.184,1.3708218,169
243.1833,1.5459232,169
74.0381,2.1865742,169
100.0175,2.1887226,169
120.1357,2.1981301,169
168.0293,2.1996686,169
311.0159,4.0501776,169
75.0321,4.4291487,169
218.0101,5.1560125,169
171.0503,5.2748985,169
147.0525,5.5776258,169
123.0316,1.1853454,168
137.0237,1.4649588,168
294.1835,1.473572,168
158.2583,3.9537437,168
175.047,3.9940953,168
89.048,5.287803,168
256.1143,6.4618154,168
215.0551,5.3975635,167
308.1576,6.616257,167
200.0763,4.1857653,167
428.3975,1.3352226,166
416.3132,1.3762771,166
143.9819,3.9389338,166
470.0362,3.503267,165
285.0014,4.0585155,165
200.0768,5.2587504,165
202.0326,5.7134557,165
85.0179,2.1335883,165
482.0425,1.3080796,164
400.3653,1.3435119,164
315.9867,3.8425288,164
284.0353,1.2040615,163
402.0363,1.3288393,162
122.0373,1.5000864,162
350.0763,1.6056174,162
102.0329,2.20829,162
289.001,4.256556,162
309.0828,1.5300807,161
546.0547,1.2978747,160
364.2586,1.372113,160
254.5557,1.394387,160
317.1233,6.3822107,160
340.2085,1.3422518,159
388.2828,1.3932828,159
499.0615,3.5840557,159
417.0583,3.5888176,159
134.0215,4.7111073,159
326.1319,4.65841,159
192.0265,4.7088623,159
103.0628,5.5743985,159
249.9676,1.4527084,158
355.2356,1.5674618,158
85.0165,4.5207276,158
244.0456,4.7709236,158
431.1636,5.240406,158
156.0085,1.1904266,157
1058.1556,1.2433308,157
610.0682,1.2905667,157
474.2895,1.3265536,157
198.9699,1.4766116,157
329.22,1.5756692,157
402.2368,1.5699173,157
265.0807,2.139057,157
62.9972,2.227383,157
400.1693,4.511465,157
946.7213,1.2352687,156
488.159,1.338955,156
576.3627,1.5558071,156
460.279,1.5635123,156
202.0325,1.5715388,156
130.0276,2.2157438,156
257.0979,5.230832,155
182.1161,6.5213866,155
994.1434,1.2482405,154
930.1304,1.2537662,154
616.1841,1.3251039,154
602.1668,1.3261364,154
486.2906,1.3400841,154
378.2435,1.3741627,154
451.2694,1.6037666,154
581.3688,2.5308444,154
353.9517,3.9697535,154
183.0637,5.032344,154
289.0009,5.382768,154
258.061,4.204649,154
674.0799,1.2810585,153
666.1803,1.3192551,153
680.1956,1.318745,153
552.1721,1.3320457,153
268.2398,1.3868629,153
482.2649,1.4591434,153
561.3045,1.5257125,153
114.0326,2.189464,153
435.9544,3.8849273,153
129.0447,4.798542,153
314.1199,4.857803,153
284.0356,5.691014,153
590.1312,1.3430002,152
308.1962,1.4193156,152
88.0175,2.1928093,152
265.0792,4.4866705,152
174.2239,6.4521494,152
252.1087,4.20254,152
185.0351,5.2927504,152
882.2077,1.2427613,151
718.1541,1.3312186,151
464.0345,4.099159,151
300.0126,5.1457415,151
129.042,5.577694,151
202.0325,1.2231334,150
914.7161,1.2371198,150
866.1165,1.2597667,150
654.1433,1.3371334,150
427.9759,1.3578,150
352.0551,1.3707868,150
195.9957,1.4699401,150
130.0259,1.6908399,150
269.1096,5.2305274,150
196.0573,5.5639267,150
738.0925,1.2736039,149
846.1788,1.319765,149
479.3015,1.5402216,149
180.3434,2.1994429,149
204.0909,2.4082494,149
330.0938,4.788248,149
326.1324,5.0214834,149
97.9777,5.943939,149
802.1045,1.2671217,148
782.167,1.3252565,148
678.1801,1.3251964,148
449.1433,1.534345,148
340.0421,4.127175,148
488.1848,4.977175,148
221.1251,6.199384,148
202.0323,3.6730962,148
565.3504,1.3153605,147
368.1142,2.206245,147
338.0862,2.209313,147
553.3379,2.7290545,147
152.047,1.46332,147
179.8869,1.409939,147
910.1927,1.3148836,146
386.204,1.4117258,146
446.2023,1.4311372,146
518.3212,1.5589727,146
382.978,4.034849,146
438.019,4.10459,146
132.0532,4.639789,146
289.0013,4.723199,146
205.0369,4.7845187,146
105.0421,4.336679,146
744.2105,1.3128343,145
806.2053,1.3125724,145
742.1927,1.3189588,145
966.4435,1.3456204,145
902.4324,1.3466964,145
198.1613,1.4354411,145
523.2902,1.4933786,145
191.0571,1.5729102,145
666.2217,3.3129046,145
90.0315,3.3401303,145
546.0216,3.6201391,145
134.0213,6.1108985,145
85.017,4.8132133,145
946.2202,1.2360765,144
1064.2725,1.2843262,144
936.2494,1.2953054,144
614.1679,1.3305486,144
526.1187,1.3507981,144
838.4209,1.3489995,144
282.6046,1.3781729,144
1044.0573,3.5042286,144
962.0536,3.5046601,144
880.0503,3.5048125,144
798.047,3.504528,144
666.2216,4.3413796,144
260.031,5.9557776,144
1000.2601,1.2897623,143
872.236,1.3009298,143
769.282,1.3037764,143
808.2222,1.3068955,143
570.2814,1.4849021,143
192.028,2.2214618,143
588.1646,2.472993,143
527.3211,2.8695872,143
634.0422,3.504798,143
716.0444,3.5049586,143
335.0559,3.5914397,143
248.0405,4.2393417,143
978.7288,1.2322322,142
1010.2334,1.232352,142
986.2432,1.2831193,142
152.3033,1.4602463,142
314.1045,1.7092042,142
710.0273,3.6155288,142
366.0588,4.1182103,142
190.0945,5.2955346,142
954.23,1.2966096,141
550.1556,1.3366805,141
506.1291,1.342823,141
442.1169,1.3499074,141
862.1927,1.4307946,141
218.0096,3.736127,141
251.0996,5.520158,141
239.9891,5.768525,141
522.3344,6.4570003,141
510.2955,1.4388018,141
535.3105,1.2966498,140
934.2341,1.3002716,140
870.2217,1.3060716,140
581.3466,1.3445501,140
789.5517,1.5231785,140
227.0183,1.6855212,140
181.0729,2.5466576,140
172.0137,5.8902216,140
226.0932,5.235128,140
998.2475,1.294259,139
974.2053,1.3122731,139
434.2895,2.1586046,139
298.0911,2.1922596,139
475.2714,2.1661942,139
162.0538,2.352431,139
135.8716,2.4169147,139
828.2741,5.008814,139
205.0381,5.852352,139
295.1261,4.2518415,139
133.0363,6.281819,139
855.2951,1.2946662,138
1038.2166,1.3125288,138
1030.456,1.3437394,138
597.3427,1.3544494,138
254.2245,1.3960726,138
784.1752,1.6245284,138
268.0818,2.1294925,138
172.0744,2.148341,138
789.5522,2.1528118,138
86.038,2.1973774,138
533.9314,3.8951309,138
