Mass,Retention Time,Frequency
147.0536,4.292505,182
287.2776,2.1240823,182
174.1118,6.259931,182
197.0873,2.0432963,182
161.105,5.804148,182
125.0122,2.164715,182
257.1036,6.0609446,182
117.079,3.8622386,181
431.2654,2.125172,181
203.1118,5.43928,181
117.0787,2.6461606,180
382.1029,2.0349834,180
202.1429,6.530217,180
185.9847,2.9947605,179
451.262,1.907424,179
103.9832,2.997045,179
202.0425,2.0259109,179
519.3241,2.310391,179
436.2209,2.1135144,179
387.2406,2.0686407,178
479.302,2.0624654,178
71.0735,2.6599543,178
348.1757,2.0383334,177
129.0425,3.785813,176
729.5174,2.0386755,176
530.3927,1.3438696,176
343.2203,2.0390747,175
241.0255,3.0602915,175
133.009,3.0113711,175
183.039,5.6076555,174
337.1734,1.7008793,174
168.0503,3.7604642,173
267.9867,2.9966931,173
231.1473,4.737612,173
184.1189,1.7914367,172
315.3078,2.0839765,172
399.3278,2.2723434,172
215.0105,3.0025055,172
342.1303,1.734994,171
364.0983,2.1988535,171
250.1531,6.826662,171
264.1686,6.819814,171
549.6208,2.0270233,171
563.3509,2.2404857,171
297.0127,3.0082226,171
281.1118,3.6949644,171
359.1426,2.232193,171
122.048,5.6179466,170
165.0464,4.836993,170
156.1624,6.4536233,170
89.0478,4.455482,170
347.0633,3.8588521,170
398.1374,7.465484,170
467.1308,2.2063062,170
182.1165,6.414048,170
163.1202,3.6847508,169
145.0848,4.269018,169
335.2176,6.223892,169
783.3008,2.6756744,169
175.0468,2.2008874,169
129.1486,2.2620473,169
493.3163,2.4201121,169
220.1779,4.008622,169
431.2066,6.1677938,168
368.1463,5.9472795,168
136.0389,1.9670599,168
148.0664,1.7769575,168
170.1401,2.5098994,168
254.0865,3.6596591,168
306.0535,5.5865946,168
119.0554,3.0499883,168
426.0883,6.4855475,168
425.3499,2.2522922,168
245.1737,7.14835,167
142.0125,5.611264,167
187.0597,2.261874,167
349.9884,2.997581,167
515.1142,3.8243299,167
475.2905,2.1598685,167
137.0425,3.1060426,167
974.3436,3.8654544,167
189.1343,2.6825662,166
208.1311,1.7551385,166
188.1273,6.374495,166
132.0529,3.841048,166
264.1044,5.7012477,165
379.0172,3.0048902,165
219.1111,2.0277154,165
266.038,5.6055155,165
499.0696,1.2528841,164
172.01,3.4357803,164
164.1037,1.7189759,164
717.1603,2.1846097,164
173.1527,7.0418715,164
69.0572,3.1041715,164
147.0878,2.5957875,164
706.2141,2.2398229,164
104.0707,2.998007,164
137.9284,3.3012028,163
240.1478,6.018112,163
543.0173,3.0088282,163
303.1543,6.522473,163
828.2744,3.873927,163
129.1391,3.773901,163
700.402,5.5995216,163
292.1383,3.767363,162
164.9564,3.2459757,162
83.0375,3.7798338,162
187.0572,3.4435685,162
187.1684,7.0461273,162
211.0678,2.0773578,162
306.0763,6.536476,161
377.2277,6.2167954,161
256.1026,6.2222867,161
414.2591,6.21516,161
688.2007,2.9348943,161
461.0154,3.0091562,161
405.0285,3.0448887,161
315.1565,6.0540257,160
645.0375,3.6706634,160
842.1738,2.1801007,160
132.0898,6.434844,160
188.153,7.263295,160
130.1217,6.533428,159
163.05,1.9677485,159
371.3008,2.2445858,159
267.0924,2.0281632,159
193.13,3.8510258,159
161.0472,1.7345408,159
666.222,2.6421194,159
115.0611,3.1693208,159
338.1353,7.977849,159
201.9576,3.1801448,159
265.0291,5.5907288,159
431.9898,2.9995031,159
173.8846,3.388829,158
224.0607,5.6230197,158
323.0276,3.0475638,158
684.4271,5.5797343,158
183.0665,8.184454,158
247.1421,5.6207085,158
513.2799,1.6540384,158
217.9317,3.2376242,157
827.5081,2.5715795,157
546.206,2.2437327,157
202.0399,5.600891,157
144.0903,4.277969,157
244.1492,5.407617,157
145.1108,6.3234353,156
260.0285,2.6034672,156
131.0917,2.4341412,156
368.1474,5.2526736,156
562.1191,4.3446026,156
574.4715,3.4357874,156
368.1466,6.4854927,156
549.1991,8.174742,156
433.9088,3.4722192,155
258.1941,4.391234,155
401.2272,2.607426,155
384.1397,4.824974,155
344.2665,4.2354255,155
700.3876,3.4784515,155
340.0864,3.572283,155
144.0392,2.2809496,155
752.0439,1.3901429,154
926.2521,2.620319,154
283.0925,2.034221,154
59.0481,2.7061687,154
397.3125,2.3085973,154
810.0902,1.3839936,154
272.9726,3.2069738,154
243.0811,2.1085975,154
332.0565,5.65806,153
159.1259,6.109601,153
797.3152,2.4996722,153
357.2007,2.5298688,153
352.0533,3.060968,153
703.5032,2.014869,153
385.0185,3.7092156,153
625.0196,3.0080986,153
123.0175,5.6120586,153
175.1304,3.8617191,153
392.1949,2.0250266,153
313.079,2.2722564,152
781.0628,1.3879282,152
629.2938,2.8992507,152
265.1508,1.6370134,151
135.0517,2.1576293,151
85.0878,2.4330003,151
260.0249,3.5215156,151
607.3767,2.2930596,151
521.3482,2.324663,151
808.5137,3.7740207,151
751.4942,4.3957086,151
327.9902,3.463087,150
192.1324,1.6491209,150
269.179,1.7990997,150
327.191,1.6648002,150
415.2427,1.7896397,150
375.0373,2.1564026,149
569.0319,3.0356042,149
145.1549,2.1730134,149
513.9914,3.003564,149
602.5028,3.4990668,149
487.0302,3.0363624,149
151.0483,2.0565903,149
172.0122,2.548277,148
841.9994,3.0027082,148
759.9962,3.0019665,148
237.087,1.9560612,148
380.148,7.9425583,148
203.1166,6.5608244,148
598.0576,3.029966,148
184.0214,3.5557067,147
808.5507,6.416375,147
723.0232,1.3937553,147
299.277,1.369864,147
707.0225,3.0043201,147
839.1061,1.3809662,147
282.1689,1.9288638,147
205.0367,2.5590951,147
188.1152,4.344138,146
282.9973,3.012657,146
516.0544,3.0350273,146
299.9336,3.187513,146
295.1291,2.1323216,146
227.9718,2.9924173,146
271.247,1.3780342,146
761.4071,1.6727055,146
503.3172,1.2892121,146
281.2665,1.3903766,146
290.0637,1.9827806,146
145.1074,3.1501648,145
130.1092,4.2075105,145
467.3005,2.5224488,145
868.1236,1.379,145
197.0817,7.824691,145
118.9935,3.0241165,145
308.1582,6.529428,145
631.2975,2.1920419,145
779.5246,2.667952,145
351.0557,3.8416317,144
572.2406,2.8953264,144
297.2617,1.3811042,144
755.2687,2.9693544,144
