Tube,Line,Sex,ID,Species,sppLevel1,sppLevel2,sppLevel3,sppLev4,Day.frozen,New.Vial.number.for.Metabolomics,Use,Raftery
17,Wil-03,males,Wil03.M,willistoni,NA,NA,NA,NA,1,37,1,1
109,Sim-286,males,Sim286.M,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,20,1,2
159,Per-02,males,Per02.M,persimilis,pers.pseud,NA,NA,NA,2,28,1,3
163,MJCI-2008,females,Moj2008.F,mojavensis,NA,mojav.viril,NA,NA,2,32,1,4
118,Sec-31,females,Sec31.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,26,1,5
108,Sim-286,males,Sim286.M,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,24,1,6
83,Ana-15,males,Ana15.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,2,1,7
226,Per-23,males,Per23.M,persimilis,pers.pseud,NA,NA,NA,3,9,1,8
162,MJCI-2008,males,Moj2008.M,mojavensis,NA,mojav.viril,NA,NA,2,16,1,9
30,Vir-48,females,Vir48.F,virilis,NA,mojav.viril,NA,NA,1,49,1,10
194,Ere-00,males,Ere00.M,erecta,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,34,1,11
218,MJCI-2008,females,Moj2008.F,mojavensis,NA,mojav.viril,NA,NA,3,12,1,12
220,MJ-122,males,Moj122.M,mojavensis,NA,mojav.viril,NA,NA,3,30,1,13
176,Mel-61,males,Mel61.M,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,25,1,14
60,Pse-96,females,Pse96.F,pseudoobscura,pers.pseud,NA,NA,NA,1,46,1,15
4,Yak-00,males,Yak00.M,yakuba,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,76,1,16
34,Vir-08,males,Vir08.M,virilis,NA,mojav.viril,NA,NA,1,11,1,17
139,Pse-96,females,Pse96.F,pseudoobscura,pers.pseud,NA,NA,NA,2,39,1,18
174,MJ-122,females,Moj122.F,mojavensis,NA,mojav.viril,NA,NA,2,47,1,19
147,Pse-217,males,Pse217.M,pseudoobscura,pers.pseud,NA,NA,NA,2,27,1,20
42,Vir-00,males,Vir00.M,virilis,NA,mojav.viril,NA,NA,1,41,1,21
3,Yak-00,males,Yak00.M,yakuba,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,88,1,22
19,Wil-03,females,Wil03.F,willistoni,NA,NA,NA,NA,1,1,1,23
158,Per-02,males,Per02.M,persimilis,pers.pseud,NA,NA,NA,2,40,1,24
33,Vir-08,males,Vir08.M,virilis,NA,mojav.viril,NA,NA,1,6,1,25
136,Pse-96,males,Pse96.M,pseudoobscura,pers.pseud,NA,NA,NA,2,18,1,26
202,Ana-12,males,Ana12.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,2,8,1,27
138,Pse-96,males,Pse96.M,pseudoobscura,pers.pseud,NA,NA,NA,2,21,1,28
211,Sec-31,males,Sec31.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,3,15,1,29
213,Sec-31,females,Sec31.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,3,13,1,30
209,Sec-31,males,Sec31.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,3,19,1,31
151,Per-17,males,Per17.M,persimilis,pers.pseud,NA,NA,NA,2,38,1,32
141,Pse-33,males,Pse33.M,pseudoobscura,pers.pseud,NA,NA,NA,2,42,1,33
166,MJCI-1002,males,Moj1002.M,mojavensis,NA,mojav.viril,NA,NA,2,10,1,34
