mz.name,metabolite,Human.Metabolome.Database,KEGG,ionization.mode
mz75,1-Methyladenosine,HMDB0003331,C02494,Positive
mz78,1-Methylguanosine,HMDB0001563,NA,Positive
mz25,1-Methylhistamine,HMDB0000898,C05127,Positive
mz176,12-HETE,HMDB0006111,C14777,Negative
mz169,13-HODE,HMDB0004667,C14762,Negative
mz128,2-Aminoadipate,HMDB0000510,C00956,Negative
mz122,2-Hydroxyglutarate,HMDB0059655,C02630,Negative
mz100,2-Hydroxyisovaleric acid,HMDB0000407,NA,Negative
mz68,2'-Deoxyuridine,HMDB0000012,C00526,Positive
mz93,3-Hydroxybutyric acid,HMDB0000357,NA,Negative
mz67,3-Hydroxykynurenine,HMDB0000732,C02794,Positive
mz108,3-Methyl-2-Oxovaleric acid,HMDB0000491,C03465,Negative
mz52,3-Methylhistidine,HMDB0000479,C01152,Positive
mz158,3-Nitrotyrosine,HMDB0001904,NA,Negative
mz150,3-Phosphoglyceric acid,HMDB0000807,C00597,Negative
mz11,4-Hydroxybutyric acid,HMDB0000710,C00989,Positive
mz148,4-Pyridoxic acid,HMDB0000017,C00847,Negative
mz43,4-Trimethylammoniobutanoate,HMDB0001161,C01181,Positive
mz17,5-Aminovaleric acid,HMDB0003355,C00431,Positive
mz66,5-Hydroxytryptophan,HMDB0000472,C01017,Positive
mz77,8-Hydroxydeoxyguanosine,HMDB0003333,C19968,Positive
mz79,8-hydroxyguanosine,HMDB0002044,NA,Positive
mz89,Acetoacetate,HMDB0000060,C00164,Negative
mz63,Acetylcarnitine,HMDB0000201,C02571,Positive
mz40,Acetylcholine,HMDB0000895,C01996,Positive
mz137,Aconitate,HMDB0000958,C02341,Negative
mz115,Adenine,HMDB0000034,C00147,Negative
mz73,Adenosine,HMDB0000050,C00212,Positive
mz196,Adenylosuccinate,HMDB0059653,C03794,Negative
mz119,Adipic acid,HMDB0000448,C06104,Negative
mz192,ADP,HMDB0001341,C00008,Negative
mz28,Agmatine,HMDB0001432,C00179,Positive
mz6,Alanine,HMDB0000161,C00041,Positive
